"inventory_id","item_sku","description","location_id","ebay_category_id","created_at","updated_at"
34,IZ-0105-48,Dell OptiPlex 3060 Desktop,12,179,2025-08-29 10:37:47.214 -0500,
44,IZ-0105-58,Dell OptiPlex 3050 Desktop,14,179,2025-08-30 09:45:11.717 -0500,
37,IZ-0105-51,Dell OptiPlex 3050 Desktop,14,179,2025-08-29 11:04:40.086 -0500,
33,IZ-0105-47,Dell OptiPlex 3050 Desktop,14,179,2025-08-29 10:30:40.769 -0500,
24,IZ-0105-34,Dell OptiPlex 3050 Desktop,14,179,2025-08-19 13:45:43.106 -0500,
53,DT-0125-CAB-21,HP Pro Mini 400 G9 Desktop,14,179,2025-09-13 13:46:53.915 -0500,
52,DT-0125-CAB-27,HP Pro Mini 400 G9 Desktop,14,179,2025-09-13 13:32:47.012 -0500,
84,IZ-0105-90,Dell OptiPlex 3080 Desktop,12,179,2025-10-03 14:39:22.522 -0500,
85,IZ-0105-91,Dell OptiPlex 3080 Desktop,12,179,2025-10-03 14:51:04.596 -0500,
74,IZ-0105-80,Dell PERC H730 Raid Card,12,56091,2025-09-27 10:19:47.325 -0500,
77,IZ-0105-83,Dell Latitude 3520 Notebook/Laptop,11,177,2025-09-30 12:33:15.421 -0500,
61,IZ-0105-71,Dell Precision M4700 Notebook/Laptop,1,177,2025-09-24 11:11:12.053 -0500,
62,DT-0325-347,Dell Precision 3431 Desktop,9,179,2025-09-25 10:41:44.054 -0500,
64,IZ-0105-72,Intel I5-9500 CPU,12,164,2025-09-25 11:01:13.581 -0500,
60,JB-0626-62,Intel I9-9900 LGA,12,164,2025-09-24 11:04:14.422 -0500,
76,IZ-0105-82,Honeywell Node Board 010-246 Process Controller,2,181725,2025-09-30 11:15:41.384 -0500,
48,IZ-0105-62,Dell OptiPlex 3060 Desktop,12,179,2025-08-30 10:17:15.522 -0500,
59,JB-0626-63,Intel I9-9900 LGA,12,164,2025-09-24 10:50:20.431 -0500,
58,IZ-0105-70,Intel I7-8700 LGA,12,164,2025-09-24 10:24:22.615 -0500,
65,IZ-0105-73,Intel I5-7500T CPU,12,164,2025-09-25 11:09:06.906 -0500,
68,IZ-0105-76,Intel Xeon E-2224G CPU,1,164,2025-09-26 13:23:46.746 -0500,
94,IZ-0105-98,Dell Latitude 7480 Notebook/Laptop,12,177,2025-10-04 14:53:42.311 -0500,
